rdbms_id,chain_name,vendor_id,vendor_code,vendor_name,logo_path,dl_vendor_menu,dl_vendor_deal,dl_homescreen,dl_restlist,dl_deals,rating,discount_id,discount_type,deal_name,end_date,desktop_voucher,desktop_voucher_end_date,mobile_voucher,mobile_voucher_end_date,cuisine_id,cuisine_title,cuisine_img_new,delivery_time,concatenate_id,s3_link
18,360度焗御坊 (台北店) (M),2677,w8tf,360度焗御坊 (台北店) (M),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8tf_sqp.jpg,foodpanda://?c=TW&s=c&v=2677,foodpanda://?c=TW&s=e&v=2677,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,179,美墨料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,267717950,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_2677_179_50_composite.jpg
18,360度焗御坊 (台北店) (M),2677,w8tf,360度焗御坊 (台北店) (M),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8tf_sqp.jpg,foodpanda://?c=TW&s=c&v=2677,foodpanda://?c=TW&s=e&v=2677,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,179,美墨料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,267717960,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_2677_179_60_composite.jpg
18,蘭花亭 (台北店),3011,w4uv,蘭花亭 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w4uv_sqp.gif,foodpanda://?c=TW&s=c&v=3011,foodpanda://?c=TW&s=e&v=3011,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,2,,,Free delivery!,,,,,,196,便當-小吃,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,301119650,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3011_196_50_composite.jpg
18,蘭花亭 (台北店),3011,w4uv,蘭花亭 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w4uv_sqp.gif,foodpanda://?c=TW&s=c&v=3011,foodpanda://?c=TW&s=e&v=3011,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,2,,,Free delivery!,,,,,,196,便當-小吃,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,301119660,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3011_196_60_composite.jpg
18,蘭花亭 (台北店),3011,w4uv,蘭花亭 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w4uv_sqp.gif,foodpanda://?c=TW&s=c&v=3011,foodpanda://?c=TW&s=e&v=3011,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,2,,,Free delivery!,,,,,,201,中西麵食料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,301120150,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3011_201_50_composite.jpg
18,蘭花亭 (台北店),3011,w4uv,蘭花亭 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w4uv_sqp.gif,foodpanda://?c=TW&s=c&v=3011,foodpanda://?c=TW&s=e&v=3011,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,2,,,Free delivery!,,,,,,201,中西麵食料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,301120160,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3011_201_60_composite.jpg
18,Ncis 德相美式加州壽司 Ncis Sushi (台北店),3224,w8ci,Ncis 德相美式加州壽司 Ncis Sushi (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8ci_sqp.gif,foodpanda://?c=TW&s=c&v=3224,foodpanda://?c=TW&s=e&v=3224,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,164,日本料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,322416460,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3224_164_60_composite.jpg
18,Ncis 德相美式加州壽司 Ncis Sushi (台北店),3224,w8ci,Ncis 德相美式加州壽司 Ncis Sushi (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8ci_sqp.gif,foodpanda://?c=TW&s=c&v=3224,foodpanda://?c=TW&s=e&v=3224,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,164,日本料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,70,322416470,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3224_164_70_composite.jpg
18,Ncis 德相美式加州壽司 Ncis Sushi (台北店),3224,w8ci,Ncis 德相美式加州壽司 Ncis Sushi (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8ci_sqp.gif,foodpanda://?c=TW&s=c&v=3224,foodpanda://?c=TW&s=e&v=3224,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,180,壽司-生魚片,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,322418060,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3224_180_60_composite.jpg
18,Ncis 德相美式加州壽司 Ncis Sushi (台北店),3224,w8ci,Ncis 德相美式加州壽司 Ncis Sushi (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8ci_sqp.gif,foodpanda://?c=TW&s=c&v=3224,foodpanda://?c=TW&s=e&v=3224,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,180,壽司-生魚片,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,70,322418070,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3224_180_70_composite.jpg
18,Carnegie'S 卡奈基餐廳 (台北店),3233,w8kh,Carnegie'S 卡奈基餐廳 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8kh_sqp.jpg,foodpanda://?c=TW&s=c&v=3233,foodpanda://?c=TW&s=e&v=3233,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,175,其他歐系料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,323317550,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3233_175_50_composite.jpg
18,Carnegie'S 卡奈基餐廳 (台北店),3233,w8kh,Carnegie'S 卡奈基餐廳 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8kh_sqp.jpg,foodpanda://?c=TW&s=c&v=3233,foodpanda://?c=TW&s=e&v=3233,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,175,其他歐系料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,323317560,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3233_175_60_composite.jpg
18,Carnegie'S 卡奈基餐廳 (台北店),3233,w8kh,Carnegie'S 卡奈基餐廳 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8kh_sqp.jpg,foodpanda://?c=TW&s=c&v=3233,foodpanda://?c=TW&s=e&v=3233,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,179,美墨料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,323317950,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3233_179_50_composite.jpg
18,Carnegie'S 卡奈基餐廳 (台北店),3233,w8kh,Carnegie'S 卡奈基餐廳 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8kh_sqp.jpg,foodpanda://?c=TW&s=c&v=3233,foodpanda://?c=TW&s=e&v=3233,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,179,美墨料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,323317960,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3233_179_60_composite.jpg
18,Carnegie'S 卡奈基餐廳 (台北店),3233,w8kh,Carnegie'S 卡奈基餐廳 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8kh_sqp.jpg,foodpanda://?c=TW&s=c&v=3233,foodpanda://?c=TW&s=e&v=3233,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,243,無國界料理與創意料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,323324350,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3233_243_50_composite.jpg
18,Carnegie'S 卡奈基餐廳 (台北店),3233,w8kh,Carnegie'S 卡奈基餐廳 (台北店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8kh_sqp.jpg,foodpanda://?c=TW&s=c&v=3233,foodpanda://?c=TW&s=e&v=3233,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,243,無國界料理與創意料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,323324360,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3233_243_60_composite.jpg
18,印渡風情 Out Of India,3271,w0cj,印渡風情 Out Of India (師大一店) (M),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w0cj_sqp.gif,foodpanda://?c=TW&s=c&v=3271,foodpanda://?c=TW&s=e&v=3271,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,172,印度料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/sg/cui/indian.png,50,327117250,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3271_172_50_composite.jpg
18,Macho Tacos,3287,w8sp,【Express】瑪丘墨式餅舖 Macho Tacos (台北延吉店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8sp_sqp.jpg,foodpanda://?c=TW&s=c&v=3287,foodpanda://?c=TW&s=e&v=3287,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,179,美墨料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,40,328717940,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3287_179_40_composite.jpg
18,Macho Tacos,3287,w8sp,【Express】瑪丘墨式餅舖 Macho Tacos (台北延吉店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8sp_sqp.jpg,foodpanda://?c=TW&s=c&v=3287,foodpanda://?c=TW&s=e&v=3287,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,179,美墨料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,328717950,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3287_179_50_composite.jpg
18,Macho Tacos,3287,w8sp,【Express】瑪丘墨式餅舖 Macho Tacos (台北延吉店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8sp_sqp.jpg,foodpanda://?c=TW&s=c&v=3287,foodpanda://?c=TW&s=e&v=3287,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,179,美墨料理,https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,328717960,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3287_179_60_composite.jpg
18,Macho Tacos,3287,w8sp,【Express】瑪丘墨式餅舖 Macho Tacos (台北延吉店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8sp_sqp.jpg,foodpanda://?c=TW&s=c&v=3287,foodpanda://?c=TW&s=e&v=3287,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,264,輕食 (沙拉、三明治),https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,40,328726440,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3287_264_40_composite.jpg
18,Macho Tacos,3287,w8sp,【Express】瑪丘墨式餅舖 Macho Tacos (台北延吉店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8sp_sqp.jpg,foodpanda://?c=TW&s=c&v=3287,foodpanda://?c=TW&s=e&v=3287,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,264,輕食 (沙拉、三明治),https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,50,328726450,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3287_264_50_composite.jpg
18,Macho Tacos,3287,w8sp,【Express】瑪丘墨式餅舖 Macho Tacos (台北延吉店),https://asia-public.foodpanda.com/dynamic/production/tw/images/vendors/w8sp_sqp.jpg,foodpanda://?c=TW&s=c&v=3287,foodpanda://?c=TW&s=e&v=3287,foodpanda://?c=TW,foodpanda://?c=TW&s=s,foodpanda://?c=TW&s=e,4,,,Free delivery!,,,,,,264,輕食 (沙拉、三明治),https://foodpanda.com/global_assets/display/2015/11/dpa_nfd/cui/pizza.png,60,328726460,https://s3.amazonaws.com/files.jampp.com/img/foodpanda/TW/TW_3287_264_60_composite.jpg
